satellite,lat,lon,dsm_tile,valid_ratio,elev_min,elev_max,elev_mean,fully_valid,partial,empty
sat_51.502900_-0.134042.png,51.502900,-0.134042,TQ27ne_FZ_DSM_1m.tif,1.0,1.460,32.429,5.702,True,False,False
sat_51.503434_-0.131467.png,51.503434,-0.131467,TQ27ne_FZ_DSM_1m.tif,1.0,1.460,28.048,3.808,True,False,False
sat_51.503434_-0.132325.png,51.503434,-0.132325,TQ27ne_FZ_DSM_1m.tif,1.0,1.460,34.285,10.180,True,False,False
sat_51.503434_-0.133183.png,51.503434,-0.133183,TQ27ne_FZ_DSM_1m.tif,1.0,1.460,26.961,4.703,True,False,False
sat_51.503434_-0.134042.png,51.503434,-0.134042,TQ27ne_FZ_DSM_1m.tif,1.0,2.949,22.923,4.217,True,False,False
sat_51.503968_-0.130608.png,51.503968,-0.130608,TQ27ne_FZ_DSM_1m.tif,0.607812,1.460,25.211,2.738,False,True,False
sat_51.503968_-0.131467.png,51.503968,-0.131467,TQ27ne_FZ_DSM_1m.tif,0.632812,1.460,33.684,8.194,False,True,False
sat_51.503968_-0.132325.png,51.503968,-0.132325,TQ27ne_FZ_DSM_1m.tif,0.657813,3.958,35.391,13.737,False,True,False
sat_51.503968_-0.133183.png,51.503968,-0.133183,TQ27ne_FZ_DSM_1m.tif,0.682813,3.685,28.192,5.910,False,True,False
sat_51.503968_-0.134900.png,51.503968,-0.134900,TQ27ne_FZ_DSM_1m.tif,0.73125,4.609,31.852,10.109,False,True,False
sat_51.504503_-0.128892.png,51.504503,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,2.412,21.304,2.913,True,False,False
sat_51.504503_-0.129750.png,51.504503,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,2.667,30.130,7.487,True,False,False
sat_51.504503_-0.130608.png,51.504503,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,2.798,20.960,6.232,True,False,False
sat_51.504503_-0.131467.png,51.504503,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,3.178,33.548,9.697,True,False,False
